"","Pos.","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"508","DEF","López, Víctor","$4.900.000","70","5,83","9,04","1","0","0","0","0","0","6","2","0","0","0","newells"
"509","VOL","Agüero, José","$500.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","newells"
"510","VOL","Mateo, Diego","$4.000.000","45","6,43","15,88","0","1","1","0","0","0","0","1","1","0","0","newells"
"511","VOL","Figueroa, Víctor","$4.700.000","87","7,25","18,34","1","1","3","0","0","0","0","0","0","0","0","newells"
"512","VOL","Mugni, Lucas","$2.800.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","newells"
"513","VOL","Mancini, Daniel","$300.000","0","0,00","0,00","1","0","0","0","0","0","0","0","0","0","0","newells"
"514","VOL","Villalba, Hernán","$3.400.000","49","4,90","6,57","1","0","0","0","0","0","0","1","0","0","0","newells"
"515","VOL","Rodríguez, Maxi","$8.000.000","94","7,23","26,72","0","1","4","2","0","0","0","3","1","0","0","newells"
"516","VOL","Bernardello, Hernán","$3.400.000","48","4,36","7,67","1","0","0","0","0","0","0","3","1","0","0","newells"
"517","VOL","Silva, Iván","$600.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","newells"
"518","VOL","Bustamante, Facundo","$1.400.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","newells"
"519","VOL","Fattori, Federico","$1.100.000","18","4,50","4,29","0","0","0","0","0","0","0","1","0","0","0","newells"
"520","VOL","Rodríguez, Denis","$300.000","0","0,00","0,00","1","0","0","0","0","0","0","0","0","0","0","newells"
"521","DEL","Tonso, Martín","$3.400.000","34","5,67","8,71","1","0","1","0","0","0","0","1","0","0","0","newells"
"522","DEL","Ponce, Ezequiel","$3.700.000","42","6,00","17,90","0","2","1","0","0","0","0","1","1","0","0","newells"
"523","DEL","Tévez, Mauricio","$2.200.000","40","5,00","7,17","1","0","0","0","0","0","0","1","0","0","0","newells"
"524","DEL","Figueroa, Leandro","$500.000","5","5,00","1,38","0","0","0","0","0","0","0","0","0","0","0","newells"
"525","DEL","Vieyra, Juan","$1.100.000","5","5,00","1,38","0","0","0","0","0","0","0","0","0","0","0","newells"
"526","DEL","Fydriszewski, F.","$900.000","8","4,00","1,78","0","0","0","0","0","0","0","1","0","0","0","newells"
"527","DEL","Scocco, Ignacio","$5.300.000","83","6,92","26,22","1","1","4","0","0","0","0","1","0","0","0","newells"
"528","ARQ","Lanzillotta, Federico","$1.200.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","chicago"
"529","ARQ","Friedrich, Guillermo","$1.000.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","chicago"
"530","ARQ","Tauber, Nicolás","$1.800.000","19","3,00","0,00","0","0","0","0","0","0","0","2","1","0","0","chicago"
