"","Pos.","Nombre","Valor","PT","Prom","Reg","PJ","F","GC","GP","GR","EC","VI","A","R","PE","PA","equipo"
"158","DEF","Turus, Gastón","$3.000.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","belgrano"
"159","DEF","Lema, Cristian","$2.400.000","56","4,67","6,56","12","0","0","0","0","1","5","8","0","0","0","belgrano"
"160","DEF","Saravia, Renzo","$2.800.000","79","5,64","9,17","14","1","0","0","0","1","5","2","1","0","0","belgrano"
"161","VOL","Mansanelli, César","$2.800.000","15","5,00","3,63","3","0","0","0","0","0","0","0","0","0","0","belgrano"
"162","VOL","Zelarayán, Lucas","$6.200.000","119","8,50","34,20","14","4","3","0","0","0","0","2","0","0","0","belgrano"
"163","VOL","Farré, Guillermo","$4.000.000","70","5,00","5,28","14","0","0","0","0","0","0","6","0","0","0","belgrano"
"164","VOL","Velázquez, Jorge","$4.600.000","63","6,30","13,85","10","0","2","0","0","0","0","3","0","0","0","belgrano"
"165","VOL","Alanis, Gabriel","$500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","belgrano"
"166","VOL","Etevenaux, Iván","$1.900.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","belgrano"
"167","VOL","Parodi, Lucas","$2.000.000","41","4,56","5,54","9","0","0","0","0","0","0","3","0","0","0","belgrano"
"168","VOL","Cochis, Germán","$500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","belgrano"
"169","VOL","Rigoni, Emiliano","$3.900.000","114","8,14","49,74","14","2","4","0","0","0","0","0","0","0","0","belgrano"
"170","VOL","Prediger, Sebastián","$3.300.000","44","4,89","8,60","9","0","0","0","0","0","0","3","1","0","0","belgrano"
"171","DEL","Luján, Nahuel","$400.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","belgrano"
"172","DEL","Valdemarín, Joel","$500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","belgrano"
"173","DEL","Becchio, Luciano","$2.900.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","belgrano"
"174","DEL","Márquez, Fernando","$3.800.000","90","6,43","19,85","14","2","2","0","0","0","0","2","0","0","0","belgrano"
"175","DEL","Obolo, Mauro","$4.200.000","81","5,40","8,18","15","0","3","0","0","0","0","2","0","0","0","belgrano"
"176","ARQ","Sara, Guillermo","$3.800.000","56","8,00","17,62","7","0","0","0","2","0","5","2","0","0","0","boca"
"177","ARQ","Orion, Agustín","$5.500.000","38","4,22","9,71","9","0","0","0","9","0","3","1","2","0","0","boca"
"178","DEF","Monzón, Luciano","$3.000.000","41","5,13","8,48","8","0","0","0","0","0","3","2","0","0","0","boca"
"179","DEF","Peruzzi, Gino","$4.000.000","54","6,00","10,38","9","0","0","0","0","0","5","1","0","0","0","boca"
"180","DEF","Tobio, Fernando","$3.900.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","boca"
"181","DEF","Rolín, Alexis","$2.800.000","13","6,50","4,65","2","0","0","0","0","0","1","0","0","0","0","boca"
"182","DEF","Marín, Leandro","$2.800.000","26","6,50","8,37","4","0","0","0","0","0","2","0","0","0","0","boca"
"183","DEF","Magallán, Lisandro","$1.500.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","boca"
"184","DEF","Komar, Juan Cruz","$700.000","19","3,00","0,00","6","0","0","0","0","0","1","2","1","0","0","boca"
"185","DEF","Díaz, Daniel","$6.500.000","130","9,29","35,05","14","3","2","0","0","0","7","3","0","0","0","boca"
"186","VOL","Lodeiro, Nicolás","$5.200.000","63","7,00","20,21","9","2","0","1","0","0","0","1","0","0","0","boca"
"187","VOL","Fuenzalida, José","$3.000.000","27","5,40","6,12","5","0","0","0","0","0","0","0","0","0","0","boca"
"188","VOL","Gago, Fernando","$5.500.000","40","5,71","12,35","7","0","0","1","0","0","0","0","1","0","0","boca"
"189","VOL","Cubas, Adrián Andrés","$2.000.000","30","7,50","11,83","4","1","0","0","0","0","0","0","0","0","0","boca"
"190","VOL","Erbes, Cristian","$3.500.000","35","5,83","11,82","6","0","1","0","0","0","0","2","0","0","0","boca"
"191","VOL","Cristaldo, Franco","$800.000","17","8,50","8,94","2","0","1","0","0","0","0","0","0","0","0","boca"
"192","VOL","Colazo, Nicolás","$3.500.000","53","5,30","7,28","10","0","0","0","0","0","0","1","0","0","0","boca"
"193","VOL","Meli, César","$4.200.000","79","6,58","34,23","12","1","2","0","0","0","0","4","0","0","0","boca"
"194","VOL","Bentancur, Rodrigo","$1.500.000","15","5,00","3,75","3","0","0","0","0","0","0","1","0","0","0","boca"
"195","VOL","Carrizo, Federico","$4.000.000","60","6,00","14,37","10","0","1","0","0","0","0","0","0","0","0","boca"
"196","VOL","Bravo, Federico","$2.000.000","5","5,00","1,38","1","0","0","0","0","0","0","0","0","0","0","boca"
"197","VOL","Pavón, Cristian","$2.800.000","43","10,75","27,43","4","1","2","0","0","0","0","0","0","0","0","boca"
"198","VOL","Pérez, Pablo","$4.000.000","39","4,88","7,97","8","0","0","0","0","0","0","3","1","0","0","boca"
"199","VOL","Castellani, Gonzalo","$2.900.000","8","4,00","1,78","2","0","0","0","0","0","0","1","0","0","0","boca"
"200","DEL","Chávez, Andrés","$4.900.000","33","4,71","6,76","7","0","0","1","0","0","0","2","0","0","0","boca"
"201","DEL","Tevez, Carlos","$8.500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","boca"
"202","DEL","Calleri, Jonathan","$5.100.000","59","6,56","14,60","9","0","3","0","0","0","0","1","0","0","0","boca"
"203","DEL","Palacios, Sebastián","$2.800.000","52","8,67","27,82","6","1","3","0","0","0","0","0","0","0","0","boca"
"204","ARQ","Broun, Jorge","$3.000.000","66","4,40","10,34","15","0","0","0","18","0","4","1","1","0","0","colon"
"205","ARQ","Lovera, Ignacio","$1.500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","colon"
"206","ARQ","Mehring, Andres","$1.500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","colon"
"207","DEF","Castillo, Luis","$2.500.000","10","5,00","2,60","2","0","0","0","0","0","1","1","0","0","0","colon"
"208","DEF","Rodríguez, Clemente","$3.400.000","27","5,40","7,07","5","0","0","0","0","0","2","1","0","0","0","colon"
"209","DEF","Conti, Germán","$3.000.000","80","5,71","11,03","14","2","0","0","0","0","4","6","0","0","0","colon"
"210","DEF","Cuevas, Pablo","$2.600.000","45","4,09","5,05","11","0","0","0","0","0","1","3","0","0","0","colon"
"211","DEF","Landa, Lucas","$3.000.000","26","4,33","6,25","6","0","0","0","0","0","1","1","0","0","0","colon"
"212","DEF","Lazzaroni, Franco","$2.900.000","50","5,56","8,88","9","0","0","0","0","0","3","1","0","0","0","colon"
"213","VOL","Ballini, Matías","$2.500.000","50","4,55","5,58","11","0","0","0","0","0","0","3","0","0","0","colon"
"214","VOL","Gómez, Exequiel","$500.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","colon"
"215","VOL","Romero, Braian","$3.000.000","0","0,00","0,00","0","0","0","0","0","0","0","0","0","0","0","colon"
"216","VOL","Garnier, Yamil","$1.900.000","15","5,00","3,63","3","0","0","0","0","0","0","0","0","0","0","colon"
"217","VOL","Poblete, Gerónimo","$2.000.000","52","4,33","4,53","12","0","0","0","0","0","0","4","0","0","0","colon"
"218","VOL","Ledesma, Pablo","$3.500.000","68","5,23","8,00","13","1","0","0","0","0","0","4","0","0","0","colon"
"219","VOL","Leys, Franco","$900.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","colon"
"220","VOL","Llama, Cristian","$2.500.000","44","8,80","24,12","5","1","2","0","0","0","0","2","0","0","0","colon"
"221","VOL","Pérez, Daniel","$1.500.000","19","3,00","0,00","6","0","0","0","0","0","0","2","1","0","0","colon"
